LAST_UPDATE_DT,NAME,STATE_CODE,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_1YR,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION,NUM_OF_EMPLOYEES,BEST_NDEBT_CHG_PCT,BEST_CAPEX,TOT_DEBT_TO_TOT_ASSET,TOT_DEBT_TO_TOT_EQY,PROF_MARGIN,NEWS_SENTIMENT,PX_TO_CASH_FLOW,EFF_INT_RATE,PX_TO_BOOK_RATIO,SALES_GROWTH,EBITDA_TO_REVENUE,RD_EXPEND_TO_NET_SALES
2019-11-29,J ALEXANDER'S HOLDINGS,TN,"Consumer, Cyclical",Retail,Retail-Restaurants,10.37,0.15,NA,0.9633769392967224,16.948764530761242,155126655.11999997,6,0,0,4.722219944000244,67.66670227050781,20,FALSE,FALSE,119900,NA,NA,NA,8.516806169041358,12.21940012658332,1.650678598553644,0,7.028927505456214,4.179294022570497,1.3389181868670261,3.862296628153744,6.045471056368259,0
2019-11-29,JAZZ PHARMACEUTICALS PLC,,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,151.12,-0.08,NA,1.0081862211227417,12.768250510276955,8549269597.52,11,18.181800842285156,2,6.777780055999756,58.272701263427734,25,FALSE,FALSE,562166,1360,-0.741839762611276,-31.829,30.67963411486635,57.89509186479255,23.644444350427992,0,9.506016526535708,4.851374529890321,2.8012863400695194,16.81782771655898,43.976906503811364,11.984418183298942
2019-11-29,JBG SMITH PROPERTIES,MD,Financial,REITS,REITS-Office Property,39.88,-0.07275,2.257336283316133,0.7374600768089294,NA,5348984919.52,12,16.66670036315918,2,2.416670083999634,60.33330154418945,16.66670036315918,FALSE,FALSE,402824.8,914,NA,NA,35.607945928866144,60.23169703950821,6.197627378597974,0,31.07761508703525,4.40620887292442,1.566823008625926,18.631045665573378,38.058498995625456,NA
2019-11-29,HUNT (JB) TRANSPRT SVCS INC,AR,Industrial,Transportation,Transport-Truck,115.62,9.26,0.8994983236922913,0.906451404094696,20.185496845965044,12322537029.24,10,20,2,18.816699981689453,61.79999923706055,14.285699844360352,FALSE,FALSE,256332.25,27621,-2.798186649992184,-788,22.568414503204956,54.683199262961935,5.683019856123258,0,10.016581239555473,3.618028480104961,5.617682124432921,19.824640367821814,12.96494876187394,0
2019-11-29,JABIL INC,FL,Industrial,Electronics,Electronic Compo-Misc,38.84,13.87,0.8238928755083487,0.9479349255561829,15.331199762132682,5929176246.120001,9,22.222200393676758,2,11.66670036315918,59.88890075683594,8.333330154418945,FALSE,FALSE,262057.6,200000,3.574620196604111,-822.5,19.247290480880615,131.34049679128012,1.1356196741438285,0,4.979494543947698,7.526374012893694,3.159158492534795,14.423371798023618,5.826953380860616,0.16952953684630206
2019-11-29,JETBLUE AIRWAYS CORP,NY,"Consumer, Cyclical",Airlines,Airlines,19.27,-0.25,NA,0.9529165625572205,10.373025428587708,5563134266.42,11,27.2726993560791,3,8.368060111999512,59.454498291015625,14.285699844360352,FALSE,FALSE,169297.2,15643,-8.098380323935213,-1285,16.01764818722425,36.21774018651052,2.454949072864978,0,3.9319699226499156,6.413384454513768,1.164937055381179,9.212778094694809,10.172368764690521,0
2019-11-29,JOHN B. SANFILIPPO & SON INC,IL,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,97.74,38.45575,0.6138735664434806,0.5815510153770447,24.5874230482744,1113154213.68,9,11.111100196838379,1,19.944400787353516,64.88890075683594,0,FALSE,FALSE,153364,1470,NA,NA,7.3140065013391125,11.243149810453538,4.504217639559872,0,12.386629739044237,6.3429548634502755,4.756052934631986,-1.4320571562922226,8.624619236910252,0.10180312508203027
2019-11-29,JOHN BEAN TECHNOLOGIES CORP,IL,Industrial,Miscellaneous Manufactur,Miscellaneous Manufactur,109.55,27.01,0.3651967551907829,1.1745491027832031,21.583617463787657,3469075482.25,7,28.571399688720703,2,8.145830154418945,65,11.111100196838379,FALSE,FALSE,211346.66666666666,5800,-1.022012578616352,-42.5,26.870017331022535,84.83256730137887,5.422722300359431,0,21.430110239664568,3.6066424494032177,6.593997511072485,17.405663262185808,10.496431734125125,1.4012606136375474
2019-11-29,JERNIGAN CAPITAL INC,TN,Financial,REITS,REITS-Storage,17.48,-3.9,8.009153181682734,0.5859167575836182,NA,388700505.08000004,8,12.5,1,4.0595197677612305,64.375,25,FALSE,FALSE,54313.166666666664,16,NA,NA,4.168134578122248,4.491808185973161,174.1718459665535,0,NA,17.017412247798788,0.9310576625746639,156.04134197358704,46.658550650349206,NA
2019-11-29,JOHNSON CONTROLS INTERNATION,WI,Industrial,Building Materials,Bldg Prod-Air&Heating,42.83,8.05,2.427071089505315,1.014137625694275,21.41577188331514,33039908363.629997,11,27.2726993560791,3,4.208330154418945,59.545501708984375,10,FALSE,FALSE,216058.64285714287,105000,12.75223563046441,-605.143,11.055407099108473,22.444668491046137,23.673230974632844,0,30.610289367038302,5.37893384714194,1.6850107055850563,2.427350427350427,8.507176234979973,1.3309412550066755
2019-11-29,J2 GLOBAL INC,CA,Technology,Software,Computer Software,97.02,23.21,NA,1.025947093963623,28.71038425310427,4727829229.2,8,12.5,1,11.79170036315918,63.375,0,FALSE,FALSE,311509.4285714286,2587,NA,-63.333,39.56252465021107,97.81654540118022,10.659118111149306,0,11.117689762806197,NA,4.2575834531793415,8.002680173692442,35.73724731734994,4.006477290140355
2019-11-29,J.C. PENNEY CO INC,TX,"Consumer, Cyclical",Retail,Retail-Major Dept Store,1.13,-0.3,NA,1.531257152557373,NA,361599999.99999994,11,45.454498291015625,5,5.393939971923828,60.818199157714844,42.85710144042969,FALSE,TRUE,266999,95000,-1.857484952430263,NA,49.32003626473255,325.47008547008545,-2.1216407355021216,0,2.192406615559688,NA,0.41658985999322706,-6.634040239260468,4.576087860886929,0
