LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
2019-11-18,KALEIDO BIOSCIENCES INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.99,NA,NA,NA,NA,210137189.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KLX ENERGY SERVICES HOLDING,Energy,Oil&Gas Services,Oil-Field Services,7.37,-16.08,NA,NA,NA,173967869.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KENNAMETAL INC,Industrial,Hand/Machine Tools,Mach Tools&Rel Products,33.54,0.2600012,2.385211723079693,1.4262871742248535,13.49251914076203,2779020694.32,10,20,2,7.50832986831665,61.5,10,16.66670036315918,FALSE,FALSE,222622.9
2019-11-18,KNOWLES CORP,Industrial,Electronics,Electronic Compo-Misc,21.88,8.57,NA,1.1153905391693115,23.858462133158792,2003011842.2800002,9,22.222200393676758,2,4.614580154418945,63.11109924316406,8,0,FALSE,FALSE,240785.44444444444
2019-11-18,KNOLL INC,"Consumer, Cyclical",Office Furnishings,Office Furnishings-Orig,27.37,10.89,2.484472075822277,1.1625310182571411,13.621449546756308,1362330747.26,10,30,3,11.67590045928955,62,9,16.66670036315918,FALSE,FALSE,136228.88888888888
2019-11-18,KINIKSA PHARMACEUTICALS-A,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.49,-21.6,NA,NA,NA,356179896.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KINSALE CAPITAL GROUP INC,Financial,Insurance,Property/Casualty Ins,93.76,38.2,0.3412969206990642,0.8757671117782593,42.06129129248318,2077580678.7200003,7,14.285699844360352,1,6.595240116119385,59.285701751708984,7,20,FALSE,FALSE,135828.33333333334
2019-11-18,KODIAK SCIENCES INC,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Generic Drugs,28.9,21.8,NA,NA,NA,1070981055.1999999,5,0,0,NA,54.79999923706055,NA,25,FALSE,FALSE,NA
2019-11-18,KOPPERS HOLDINGS INC,Basic Materials,Chemicals,Chemicals-Diversified,40.51,23.47,NA,0.9037941098213196,13.334798698032863,838488740.65,10,40,4,5.875,63.400001525878906,8,12.5,FALSE,FALSE,154545.8
2019-11-18,KARYOPHARM THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,15.44,6.07,NA,1.4882372617721558,NA,969478263.92,7,14.285699844360352,1,7.226190090179443,57.5713996887207,7,16.66670036315918,NA,FALSE,289336.125
2019-11-18,KRATON CORP,Basic Materials,Chemicals,Chemicals-Specialty,22.67,0.8299998,NA,1.475211262702942,7.714576355519102,718723241.72,10,40,4,6.777780055999756,62.20000076293945,9,30,FALSE,FALSE,170178.7
2019-11-18,KKR REAL ESTATE FINANCE TRUS,Financial,REITS,REITS-Mortgage,19.86,0.7100004,8.660624514653724,0.663266122341156,13.418919331318623,1141683538.38,8,37.5,3,NA,54.25,NA,0,FALSE,FALSE,NA
2019-11-18,KITE REALTY GROUP TRUST,Financial,REITS,REITS-Shopping Centers,19.38,5.29,6.553147476401,0.9083113074302673,145.52608026286757,1627486256.22,9,11.111100196838379,1,8.5,64.11109924316406,8,0,FALSE,FALSE,180614
2019-11-18,KEARNY FINANCIAL CORP/MD,Financial,Banks,Commer Banks-Eastern US,14.1,1.28,1.7021276215289503,0.7232863306999207,29.525581259150265,1214127001.8,13,7.692309856414795,1,15.987199783325195,67,13,16.66670036315918,FALSE,FALSE,165514.85714285713
2019-11-18,KRONOS WORLDWIDE INC,Basic Materials,Chemicals,Coatings/Paint,13.92,2.4,5.172413998636706,1.1525691747665405,15.313548283654818,1609871747.52,8,12.5,1,8.572919845581055,68.625,8,20,TRUE,FALSE,88798.28571428571
2019-11-18,KARUNA THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,96,NA,NA,NA,NA,2247624383.9999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KURA SUSHI USA INC-CLASS A,"Consumer, Cyclical",Retail,Retail-Restaurants,22.99,NA,NA,NA,NA,191622799.49999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KRYSTAL BIOTECH INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,53.01,32.23,NA,1.0898218154907227,NA,917517753.8999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KONTOOR BRANDS INC,"Consumer, Cyclical",Apparel,Apparel Manufacturers,35.46,NA,6.322325739590018,NA,NA,2019254664.9599998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,KRATOS DEFENSE & SECURITY,Industrial,Aerospace/Defense,Aerospace/Defense,19.6,5.51,NA,1.0630992650985718,153.51478661812985,2082884336.4000003,8,25,2,15.023799896240234,62.375,7,27.2726993560791,FALSE,FALSE,168001.42857142858
2019-11-18,KURA ONCOLOGY INC,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,14.445,0.405,NA,1.2349144220352173,NA,654570610.3800001,6,0,0,3.2976200580596924,53.33330154418945,7,0,FALSE,FALSE,214258.8
2019-11-18,KVH INDUSTRIES INC,Communications,Telecommunications,Satellite Telecom,10.91,0.62,NA,0.7570187449455261,NA,197433753.25999996,6,0,0,18.16670036315918,68.66670227050781,6,12.5,FALSE,FALSE,155325
2019-11-18,KENNEDY-WILSON HOLDINGS INC,Financial,Private Equity,Private Equity,22.68,4.51,3.7037035880685902,0.8032114505767822,NA,3230746313.7599998,12,25,3,11.41670036315918,67.33329772949219,12,16.66670036315918,FALSE,FALSE,299250.3333333333
2019-11-18,QUAKER CHEMICAL CORP,Basic Materials,Chemicals,Chemicals-Diversified,144.29,-33.42001,1.0667774742678215,1.1495393514633179,28.14903151956841,2558595009.8999996,8,12.5,1,10.8125,62.75,12,11.111100196838379,FALSE,FALSE,121578.75
2019-11-18,KEZAR LIFE SCIENCES INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.54,-21.06,NA,NA,NA,48619778.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,LITHIA MOTORS INC-CL A,"Consumer, Cyclical",Retail,Retail-Automobile,162.52,86.19,0.7383252616032214,0.7950055599212646,14.311295706079608,3777776912.4400005,7,14.285699844360352,1,12.535699844360352,55.4286003112793,7,14.285699844360352,FALSE,FALSE,237451.16666666666
2019-11-18,LADDER CAPITAL CORP-REIT,Financial,REITS,REITS-Mortgage,16.93,1.46,8.03307746193216,0.7171645760536194,13.681593291555139,2027075508.2899997,7,0,0,3.84375,63.85710144042969,8,25,FALSE,FALSE,205855.33333333334
2019-11-18,LANCASTER COLONY CORP,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,156.2,-20.66,1.7925735930321922,0.4767506718635559,28.895622414538636,4293156999.999999,10,10,1,11.25,63.5,10,0,FALSE,FALSE,178608.55555555556
2019-11-18,GLADSTONE LAND CORP,Financial,REITS,REITS-Diversified,11.96,0.4800005,4.474916386365093,0.537395179271698,NA,250402429.68000004,8,25,2,NA,70.625,NA,0,FALSE,FALSE,NA
2019-11-18,NLIGHT INC,Industrial,Electrical Compo&Equip,Electric Products-Misc,19.89,2.109999,NA,NA,3727.5111299940845,751028737.6800001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,LAUREATE EDUCATION INC-A,"Consumer, Non-cyclical",Commercial Services,Schools,16.81,1.57,NA,0.9183028340339661,NA,3674970479.5299997,12,8.333330154418945,1,6.3257598876953125,58.41669845581055,11,25,FALSE,FALSE,172096.08333333334
2019-11-18,LAWSON PRODUCTS INC,Industrial,Metal Fabricate/Hardware,Metal Processors&Fabrica,47.4,15.8,NA,0.5461177229881287,30.59406805945764,424782115.20000005,9,11.111100196838379,1,7.979169845581055,66.55560302734375,8,0,FALSE,FALSE,163125
2019-11-18,LAKELAND BANCORP INC,Financial,Banks,Commer Banks-Eastern US,16.74,1.93,2.9868578255675033,0.9149657487869263,11.786823099862813,845343383.3999999,11,18.181800842285156,2,14.116700172424316,60.545501708984375,10,14.285699844360352,TRUE,FALSE,89680.53846153847
2019-11-18,LUTHER BURBANK CORP,Financial,Banks,Commer Banks-Western US,11.65,2.63,1.9742489628525761,0.904011070728302,13.86904716491699,652800748.35,7,14.285699844360352,1,NA,65.14289855957031,NA,40,FALSE,FALSE,NA
2019-11-18,LIBERTY OILFIELD SERVICES -A,Energy,Oil&Gas Services,Oil-Field Services,8.29,-4.66,2.412545271172886,1.5553666353225708,8.30429996639516,932826811.7600001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,LENDINGCLUB CORP,Financial,Diversified Finan Serv,Finance-Consumer Loans,13.32,0.1700004,NA,1.2670340538024902,NA,1173926085.48,10,30,3,5.370369911193848,59.70000076293945,9,14.285699844360352,FALSE,FALSE,315230.8
2019-11-18,LANNETT CO INC,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,9.03,4.07,NA,1.7971371412277222,12.411551860456203,364228716.18,NA,NA,NA,5.083330154418945,NA,8,NA,NA,NA,267393.4285714286
2019-11-18,LCI INDUSTRIES,"Consumer, Cyclical",Home Builders,Bldg-Mobil Home/Mfd Hous,105.11,38.31,2.473363684011195,1.0514875650405884,19.061747222908114,2630642101.65,10,10,1,8.233329772949219,58.79999923706055,10,0,FALSE,FALSE,232456.9
2019-11-18,LCNB CORPORATION,Financial,Banks,Commer Banks-Central US,18.24,3.09,3.94736857790696,0.539972722530365,12.38395962932185,235805023.67999998,10,20,2,10.61359977722168,62,11,0,FALSE,FALSE,24272.090909090908
2019-11-18,LINEAGE CELL THERAPEUTICS IN,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,0.8649,-0.04809999,NA,1.5444328784942627,NA,129556983.68730001,9,11.111100196838379,1,5.666669845581055,59.88890075683594,8,33.33330154418945,FALSE,FALSE,132377.75
2019-11-18,LIFETIME BRANDS INC,"Consumer, Cyclical",Housewares,Housewares,6.48,-3.55,2.6234568177181994,0.6665608882904053,NA,137744018.64000002,11,18.181800842285156,2,9.356060028076172,65.90910339355469,11,0,FALSE,FALSE,136941.6
2019-11-18,LYDALL INC,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,18.94,-1.369999,NA,0.9373549818992615,33.89939814082679,331881775.18,9,22.222200393676758,2,12.342599868774414,61.88890075683594,9,0,FALSE,FALSE,126393.375
2019-11-18,LANDS' END INC,Communications,Internet,E-Commerce/Products,11.23,-2.98,NA,1.0559183359146118,38.155876930257065,363514852.94,8,37.5,3,4.770830154418945,51.75,8,40,TRUE,FALSE,122005.85714285714
2019-11-18,LEAF GROUP LTD,Communications,Internet,E-Commerce/Services,4.26,-2.59,NA,1.0617557764053345,NA,111601703.58000001,8,25,2,4.324999809265137,55.75,10,0,FALSE,FALSE,102403.66666666667
2019-11-18,LEE ENTERPRISES,Communications,Media,Publishing-Newspapers,1.84,-0.2699999,NA,0.7978828549385071,3.6660324829969833,106394820.48,9,22.222200393676758,2,11.60420036315918,66.33329772949219,12,36.36360168457031,TRUE,FALSE,108285.71428571429
2019-11-18,LEGACY HOUSING CORP,Financial,Real Estate,Real Estate Oper/Develop,15.51,3.58,NA,NA,15.151989032032962,383452737.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
