LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
2019-11-18,HILTON WORLDWIDE HOLDINGS IN,"Consumer, Cyclical",Lodging,Hotels&Motels,100.17,28.37,0.5989817548585983,0.9794366359710693,31.681660872102903,28264264805.070004,9,44.444400787353516,4,7.6481499671936035,61.11109924316406,9,14.285699844360352,FALSE,FALSE,223578.22222222222
2019-11-18,HARLEY-DAVIDSON INC,"Consumer, Cyclical",Leisure Time,Motorcycle/Motor Scooter,37.55,3.430001,3.994673768308922,1.2141244411468506,11.337792936890175,5793679169.4,10,20,2,8.083330154418945,56.400001525878906,10,33.33330154418945,FALSE,FALSE,271497.44444444444
2019-11-18,HOLOGIC INC,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,46.77,5.670002,NA,0.9903022646903992,32.31621694895645,12501906343.77,7,42.85710144042969,3,5.177080154418945,58.14289855957031,8,33.33330154418945,FALSE,FALSE,223795.125
2019-11-18,HONEYWELL INTERNATIONAL INC,Industrial,Electronics,Instruments-Controls,179.8,47.68,2.00222464106372,1.010086178779602,20.709201813674294,128473123120.20001,12,25,3,9.1730804443359375,64,13,20,FALSE,FALSE,298341
2019-11-18,HELMERICH & PAYNE,Energy,Oil&Gas,Oil&Gas Drilling,38.84,-9.099999,7.31204921258834,1.1616098880767822,20.203628097497536,4212065633.2799997,11,18.181800842285156,2,11.765199661254883,63.181800842285156,11,12.5,FALSE,FALSE,297424.8
2019-11-18,HEWLETT PACKARD ENTERPRISE,Technology,Computers,Computers,17.28,4.07,2.7777777156896057,1.2325531244277954,11.38733046627789,22560789738.24,11,36.36360168457031,4,3.3717899322509766,60.727298736572266,13,0,TRUE,FALSE,293036.78571428574
2019-11-18,HP INC,Technology,Computers,Computers,20.01,-0.4499991,3.522238929172804,1.2306023836135864,12.194809940678638,29653091916.390003,10,40,4,4.0625,60.099998474121094,12,50,FALSE,FALSE,310155.5
2019-11-18,H&R BLOCK INC,"Consumer, Non-cyclical",Commercial Services,Commercial Serv-Finance,24.86,-0.5100008,4.183427038829555,0.8106252551078796,11.351598452215324,4989900542.440001,10,30,3,7.181819915771484,62.400001525878906,11,40,FALSE,FALSE,256866.4
2019-11-18,HORMEL FOODS CORP,"Consumer, Non-cyclical",Food,Food-Meat Products,42.71,0.02999969,1.9667524555700218,0.5877088904380798,23.927800387165746,22805856607.210003,12,25,3,8.125,61.16669845581055,14,26.66670036315918,FALSE,FALSE,235611.83333333334
2019-11-18,HENRY SCHEIN INC,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,68.69,7.137174,NA,0.9391406178474426,18.755179911126895,10079580834.81,15,26.66670036315918,4,15.427800178527832,67.7332992553711,15,6.666669845581055,FALSE,FALSE,269108.3333333333
2019-11-18,HOST HOTELS & RESORTS INC,Financial,REITS,REITS-Hotels,17.22,0.5499999,4.645760812548949,0.891997754573822,22.42745176646079,12349806881.999998,11,36.36360168457031,4,10.265199661254883,65.09089660644531,11,25,FALSE,FALSE,280440.44444444444
2019-11-18,HERSHEY CO/THE,"Consumer, Non-cyclical",Food,Food-Confectionery,146.69,39.51,2.1079901879120495,0.5864419937133789,25.368464873506365,30646677085.51,11,45.454498291015625,5,5.763889789581299,62.272701263427734,12,37.5,FALSE,TRUE,231252.92307692306
2019-11-18,HUMANA INC,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,334.54,48.05999,0.6576194319614144,0.9945332407951355,19.164514962598258,44301809094.299995,12,16.66670036315918,2,11.15149974822998,60.41669845581055,11,21.428600311279297,FALSE,FALSE,337380
2019-11-18,INTL BUSINESS MACHINES CORP,Technology,Computers,Computer Services,134.31,20.64,4.826815656665539,1.0328755378723145,10.211938407708073,118949966446.74002,13,23.076900482177734,3,6.97435998916626,65.76920318603516,13,33.33330154418945,TRUE,TRUE,389227.21428571426
2019-11-18,INTERCONTINENTAL EXCHANGE IN,Financial,Diversified Finan Serv,Finance-Other Services,92.82,17.49,1.185344853277864,0.8522247672080994,25.894514222545027,51686771611.02,12,33.33330154418945,4,11.621199607849121,63,11,12.5,FALSE,FALSE,392508.9
2019-11-18,IDEXX LABORATORIES INC,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Kits,260.53,74.51,NA,1.0592093467712402,54.0518669666591,22348933483.16,8,37.5,3,6.449999809265137,61.375,10,16.66670036315918,FALSE,FALSE,271456.5714285714
2019-11-18,IDEX CORP,Industrial,Machinery-Diversified,Machinery-General Indust,161.18,34.92,1.2408487405385284,1.022882342338562,27.819002957737876,12259329363.06,9,22.222200393676758,2,6.224999904632568,58.33330154418945,10,12.5,FALSE,FALSE,231468.375
